"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"D1","LED PIR oben","LEDs:LED_D5.0mm","~","1","","",""
"D2","LED PIR unten","LEDs:LED_D5.0mm","~","1","","",""
"D3","LED Photoresistor","LEDs:LED_D5.0mm","~","1","","",""
"J1","WS2812B","TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_3pol","~","1","","",""
"J2","HC-SR501 (oben)","TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_3pol","~","1","","",""
"J3","HC-SR501 (unten)","TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_3pol","~","1","","",""
"J4","Photoresistor","TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_2pol","~","1","","",""
"J5","SPI","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~","1","","",""
"J7","Screw_Terminal_01x02","TerminalBlocks_Phoenix:TerminalBlock_Phoenix_PT-3.5mm_2pol","~","1","","",""
"J8","Power","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","~","1","","",""
"J9","Div. Pins","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","~","1","","",""
"R1","10K","Resistors_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","1","","",""
"R2,R3,R4","220","Resistors_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","3","","",""
"U1","NodeMCU1.0(ESP-12E)","mcu:NodeMCU1.0(12-E)","","1","","",""
