"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"D1,D2,D3,D4","1N4007","digikey-footprints:Diode_DO-35_P10mm","~","4","","",""
"J1","12V Input","Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~","1","","",""
"J2","SPI","digikey-footprints:PinHeader_1x4_P2.54mm_Drill1.02mm","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","1","","",""
"J3","Conn_01x06_Male","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~","1","","",""
"J4","3V3 Out","digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1","","",""
"J5","5V Out","digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1","","",""
"J6","RX/TX","digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1","","",""
"J7","B5B-XH-A_LF__SN_","digikey-footprints:PinHeader_1x5_P2.5mm_Drill1.1mm","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf","1","","",""
"Q1","IRLZ34N-Blue","TO_SOT_Packages_THT:TO-220-3_Vertical","","1","","",""
"Q2","IRLZ34N-Red","TO_SOT_Packages_THT:TO-220-3_Vertical","","1","","",""
"Q3","IRLZ34N-Green","TO_SOT_Packages_THT:TO-220-3_Vertical","","1","","",""
"Q4","IRLZ34N-White","TO_SOT_Packages_THT:TO-220-3_Vertical","","1","","",""
"R1,R2,R3,R4","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","4","","",""
"U1","L7805CV","digikey-footprints:TO-220-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","1","","",""
"U2","NodeMCU_1.0_(ESP-12E)","ESP8266:NodeMCU1.0(12-E)","","1","","",""
